district_name,population,area_km2,dist_center_km,crime_total,crime_rate,crime_Burglary,crime_Disorder,crime_Other,crime_Theft,crime_Violent,airbnb_count,airbnb_density,airbnb_economy,airbnb_luxury,airbnb_luxury_density,airbnb_entire_home,price_avg,poi_count,poi_density,poi_attraction,poi_bar,poi_cafe,poi_hostel,poi_hotel,poi_museum,poi_nightclub,poi_pub,poi_restaurant,nights_non_residents,tourist_intensity,foreigners,foreigner_ratio,people_university,university_ratio,unemployment,mhd_count,mhd_density
Praha 1,28921,5.538429033764762,0.362491608781869,14712,508.6961031776218,336,1085,11335,1781,175,2982.0,538.419826600717,388.0,1027.0,185.43164383599475,2567.0,5128.825539568345,1675.0,302.4323305017441,49.0,161.0,339.0,38.0,242.0,81.0,24.0,51.0,690.0,7023738,242.85944469416688,8277,0.2861934234639189,8057,0.2785864942429376,2.25,274,49.47251257162859
Praha 10,119110,18.59977071133616,5.767104944311858,10055,84.41776509109226,631,518,7949,896,61,261.0,14.032431047170174,106.0,23.0,1.2365743834671037,219.0,2810.6724890829696,297.0,15.967938777814336,1.0,35.0,57.0,4.0,18.0,3.0,3.0,39.0,137.0,523750,4.397195869364453,28455,0.2388968180673327,32506,0.2729073965242213,2.43,471,25.32289280926112
Praha 11,78410,9.79368053328434,8.80982923081643,9581,122.19104706032394,203,233,8694,421,30,25.0,2.5526664786579656,9.0,3.0,0.3063199774389558,14.0,2784.3809523809523,84.0,8.576959368290764,0.0,5.0,13.0,0.0,6.0,0.0,1.0,12.0,47.0,301749,3.8483484249457978,17480,0.2229307486290014,16361,0.2086596097436551,2.18,223,22.76978498962905
Praha 12,59999,23.317909721337237,10.580188053306536,3158,52.63421057017617,156,209,2557,197,39,22.0,0.9434807949302904,12.0,2.0,0.0857709813572991,20.0,2448.7,53.0,2.272931005968427,5.0,1.0,9.0,0.0,1.0,2.0,0.0,5.0,30.0,0,0.0,11203,0.1867197786629777,13434,0.2239037317288621,2.44,235,10.078090309482649
Praha 13,66604,13.196803002042362,8.592410850371957,3932,59.03549336376194,129,263,3269,231,40,55.0,4.167676064535335,21.0,7.0,0.530431499122679,42.0,3239.058823529412,62.0,4.698107563658014,1.0,1.0,10.0,2.0,2.0,0.0,0.0,5.0,41.0,29449,0.4421506215842892,19028,0.2856885472344003,17211,0.2584079034292235,1.95,193,14.62475419009672
Praha 14,50525,13.52963694429316,9.88878218676994,4205,83.22612568035626,202,284,3334,347,38,19.0,1.4043244529199477,9.0,1.0,0.0739118133115761,14.0,2577.4444444444443,49.0,3.621678852267233,2.0,6.0,8.0,2.0,3.0,0.0,0.0,5.0,23.0,15359,0.3039881246907471,13928,0.2756655121227115,9953,0.1969915883226125,3.03,242,17.886658821401436
Praha 15,35991,10.255992058562317,9.3521804620753,3879,107.77694423605902,141,104,3425,200,9,16.0,1.560063610486344,4.0,1.0,0.0975039756553965,13.0,2918.333333333333,51.0,4.972702758425221,2.0,6.0,5.0,1.0,4.0,0.0,0.0,5.0,28.0,33871,0.941096385207413,7433,0.2065238531855186,8515,0.236586924508905,2.06,177,17.258203691005182
Praha 16,8766,9.298436681366892,11.863836042762342,677,77.23020762035136,21,43,562,38,13,5.0,0.5377247994837115,2.0,0.0,0.0,5.0,1866.0,24.0,2.5810790375218158,0.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,15.0,0,0.0,1285,0.1465890942276979,1903,0.2170887519963495,1.87,70,7.528147192771961
Praha 17,24065,3.253142493412571,8.18449903305624,1214,50.44670683565344,29,110,970,75,30,8.0,2.45916064734316,4.0,0.0,0.0,6.0,2183.875,27.0,8.299667184783166,1.0,2.0,6.0,0.0,2.0,0.0,1.0,6.0,9.0,0,0.0,4360,0.1811759817161853,5070,0.2106794099314357,2.32,93,28.58774252536424
Praha 18,23728,5.606559761152635,8.778074616230745,1705,71.85603506405934,32,194,1356,113,10,7.0,1.248537480774287,3.0,2.0,0.3567249945069392,6.0,3113.0,20.0,3.567249945069392,1.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,10.0,9394,0.3959035738368172,7466,0.3146493594066082,5321,0.2242498314227916,2.62,71,12.66373730499634
Praha 19,7909,6.0022370809366485,10.2519173987235,589,74.47212036919964,44,14,512,18,1,3.0,0.4998136460700833,0.0,0.0,0.0,3.0,2577.6666666666665,40.0,6.664181947601111,25.0,1.0,2.0,0.0,0.0,3.0,0.0,2.0,7.0,0,0.0,1251,0.1581742318877228,1702,0.2151978758376533,3.09,55,9.163250177951529
Praha 2,51388,4.184953670031433,1.8490794001954611,12317,239.68630808749128,380,448,10622,774,93,1542.0,368.4628604235941,264.0,326.0,77.89811446050045,1264.0,4194.256097560976,666.0,159.1415467199181,5.0,81.0,137.0,16.0,102.0,15.0,10.0,38.0,262.0,1746611,33.98869385848836,18589,0.3617381489841986,15986,0.3110842998365377,2.91,224,53.52508478267515
Praha 20,17535,16.939083105935456,14.718900370543146,1601,91.30310806957512,47,80,1391,77,6,2.0,0.118070145089447,1.0,0.0,0.0,1.0,1410.0,20.0,1.1807014508944702,0.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,12.0,12042,0.6867408041060735,4021,0.2293128029654975,3277,0.186883376104933,2.49,103,6.080612472106521
Praha 21,10988,10.148735703554165,18.224123263722163,435,39.58864215507827,19,53,342,17,4,5.0,0.492672205292425,3.0,1.0,0.098534441058485,4.0,2515.8,18.0,1.77361993905273,0.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,10.0,0,0.0,1360,0.123771386967601,2510,0.2284310156534401,2.38,43,4.236980965514856
Praha 22,15257,15.620813360934974,14.33788861518858,884,57.94061742151143,40,59,732,46,7,6.0,0.3841029184181273,1.0,1.0,0.0640171530696878,6.0,3284.6,25.0,1.600428826742197,0.0,2.0,3.0,0.0,1.0,1.0,0.0,6.0,12.0,5573,0.3652749557580127,4127,0.27049878744183,3487,0.2285508291276135,1.9,70,4.4812007148781525
Praha 3,82149,6.482054969615881,3.659111020102865,5354,65.17425653385921,306,402,4100,489,57,916.0,141.31321074777637,339.0,85.0,13.113125451485796,771.0,4910.937192118226,399.0,61.554553589915685,4.0,58.0,68.0,13.0,38.0,4.0,9.0,30.0,175.0,902853,10.99043201986634,28626,0.3484643757075558,24345,0.2963517510864405,2.8,211,32.5514055325118
Praha 4,135712,24.200363806979137,5.514862706630613,18542,136.62756425371376,602,502,16476,874,88,241.0,9.958527975951258,98.0,18.0,0.743790471232874,190.0,2512.389423076923,323.0,13.34690678934546,6.0,15.0,55.0,1.0,38.0,1.0,0.0,30.0,177.0,795612,5.862502947418061,31866,0.234806059891535,37324,0.2750235793444942,2.37,619,25.57812787184161
Praha 5,97109,27.51082085004481,4.642044331718234,16625,171.1993738994326,435,659,14710,713,108,692.0,25.1537387332764,174.0,147.0,5.343352014149755,636.0,4316.749613601237,376.0,13.667349369525905,3.0,38.0,63.0,4.0,42.0,6.0,4.0,28.0,188.0,1054410,10.858004922303802,28449,0.2929594579287192,29201,0.300703333367659,2.07,562,20.42832538742968
Praha 6,108577,41.56120604257535,6.299050199943319,14457,133.1497462630207,218,419,13449,317,54,260.0,6.255833859432657,118.0,23.0,0.5534006875651966,205.0,2666.360169491525,337.0,8.108523117803097,6.0,12.0,74.0,7.0,30.0,8.0,4.0,29.0,167.0,777315,7.159112887628135,22413,0.206424933457362,36846,0.339353638431712,1.96,706,16.9869950183056
Praha 7,47735,7.09498751004172,2.1525600326028806,7697,161.24436995914948,132,467,6687,326,85,340.0,47.92115553674889,97.0,49.0,6.906284180296164,301.0,3679.8741721854303,272.0,38.33692442939911,3.0,27.0,69.0,5.0,12.0,9.0,7.0,11.0,129.0,357367,7.486477427464125,13083,0.2740756258510526,15522,0.3251702105373416,2.67,184,25.93380181988764
Praha 8,112478,21.794101939887888,4.577136694298517,10714,95.25418304023898,389,573,9019,610,123,471.0,21.611351607838856,89.0,97.0,4.450745447898872,436.0,3759.00234741784,372.0,17.068838212560625,2.0,28.0,72.0,10.0,31.0,1.0,2.0,48.0,178.0,1063772,9.457600597450169,26779,0.2380821138355945,28652,0.2547342591440104,3.01,450,20.647788160355592
Praha 9,68919,13.31039548332158,6.7489093599192485,9560,138.71356229776984,223,405,8442,435,55,98.0,7.362666280111484,37.0,8.0,0.6010339820499171,90.0,3077.0224719101125,131.0,9.841931456067393,0.0,6.0,28.0,3.0,13.0,2.0,1.0,14.0,64.0,794953,11.53459858674676,23129,0.3355968600821254,17714,0.2570263642827087,2.8,266,19.984379903159745
Praha-Benice,765,2.7737824138096343,15.562066556651084,22,28.75816993464052,1,0,21,0,0,0.0,0.0,,,,,,3.0,1.0815556350289457,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0,0.0,126,0.1647058823529411,231,0.3019607843137254,1.65,7,2.52362981506754
Praha-Běchovice,2670,6.834473339564199,14.22494250934272,564,211.2359550561798,21,29,492,20,2,0.0,0.0,,,,,,5.0,0.7315852665713706,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,755,0.2827715355805243,430,0.1610486891385767,2.21,33,4.828462759371046
Praha-Březiněves,2164,3.380682181409096,9.832840637423184,48,22.181146025878004,0,4,43,0,1,1.0,0.295798287546566,0.0,0.0,0.0,0.0,2429.0,5.0,1.4789914377328304,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,12392,5.726432532347505,682,0.3151571164510166,495,0.2287430683918669,1.97,4,1.1831931501862645
Praha-Dolní Chabry,5641,4.988873226757819,7.171825580591014,357,63.28665130296047,13,28,287,26,3,2.0,0.4008921271586941,0.0,0.0,0.0,2.0,2681.0,11.0,2.2049066993728177,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0,0.0,1096,0.1942917922354192,1532,0.2715830526502393,2.28,24,4.810705525904329
Praha-Dolní Měcholupy,4418,4.66027854582762,10.747720799649718,289,65.41421457673155,14,24,222,27,2,3.0,0.6437383453583307,1.0,0.0,0.0,3.0,2120.5,7.0,1.5020561391694385,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0,0.0,1498,0.3390674513354459,1137,0.2573562698053417,1.85,30,6.437383453583307
Praha-Dolní Počernice,2970,5.758804509498201,12.034005155786993,374,125.92592592592592,5,7,346,13,3,5.0,0.8682357582642929,1.0,0.0,0.0,4.0,2532.8,12.0,2.0837658198343028,0.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,5.0,13661,4.5996632996633,392,0.1319865319865319,684,0.2303030303030303,2.4,34,5.904003156197192
Praha-Dubeč,4168,8.601022284295892,12.704003643886136,155,37.188099808061416,7,19,116,11,2,1.0,0.1162652492862205,0.0,0.0,0.0,1.0,2900.0,5.0,0.5813262464311028,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,471,0.113003838771593,901,0.2161708253358925,2.3,27,3.1391617307279547
Praha-Klánovice,3854,5.896855746115365,17.60163552662176,101,26.20653866113129,10,18,69,4,0,2.0,0.3391637995074794,0.0,0.0,0.0,0.0,,12.0,2.0349827970448766,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,7.0,0,0.0,506,0.1312921639854696,981,0.2545407368967307,2.66,24,4.069965594089753
Praha-Koloděje,1738,3.755687608823461,15.843892426993667,104,59.83889528193325,0,5,98,1,0,0.0,0.0,,,,,,2.0,0.5325256539711345,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,217,0.1248561565017261,393,0.2261219792865362,2.31,12,3.195153923826807
Praha-Kolovraty,4069,6.497878569031564,17.303735885802144,124,30.47431801425412,5,7,103,9,0,1.0,0.1538963816230623,1.0,0.0,0.0,1.0,1740.0,4.0,0.6155855264922495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0,0.0,360,0.0884738264929958,1073,0.263701155074957,2.03,28,4.309098685445746
Praha-Královice,467,4.959160301382932,17.071035620800355,108,231.2633832976445,0,1,106,1,0,1.0,0.2016470408752739,0.0,0.0,0.0,1.0,2190.0,1.0,0.2016470408752739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,74,0.158458244111349,82,0.1755888650963597,1.04,4,0.8065881635010959
Praha-Kunratice,10045,8.097706938122732,9.475685167802558,678,67.49626679940268,33,43,560,35,7,9.0,1.111425749137625,6.0,0.0,0.0,9.0,2095.75,31.0,3.828244247029597,5.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,14.0,63397,6.311299153807864,2897,0.2884021901443504,3026,0.301244400199104,1.51,53,6.545062744921569
Praha-Křeslice,1150,3.4349993082782597,12.686471018877306,37,32.17391304347826,3,5,25,4,0,0.0,0.0,,,,,,1.0,0.291120873762631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,123,0.1069565217391304,408,0.3547826086956521,1.4,4,1.164483495050524
Praha-Libuš,10894,5.234736545463324,10.52796583722764,1193,109.50982192032312,36,40,1063,45,9,15.0,2.865473719589523,4.0,1.0,0.1910315813059681,11.0,2999.5714285714284,24.0,4.584757951343236,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,20.0,5550,0.5094547457315953,3416,0.3135671011565999,2148,0.1971727556453093,2.14,30,5.730947439179046
Praha-Lipence,3203,8.246237107071599,14.82676446972496,181,56.50952232282235,40,15,99,27,0,1.0,0.1212674322864722,0.0,0.0,0.0,1.0,3500.0,5.0,0.6063371614323613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0,0.0,317,0.0989697158913518,649,0.202622541367468,1.72,22,2.66788351030239
Praha-Lochkov,837,2.7162170887675257,10.588393243187204,441,526.8817204301075,2,1,435,3,0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,68,0.081242532855436,184,0.2198327359617682,1.69,6,2.2089545142809186
Praha-Lysolaje,1639,2.474802462267029,5.317086032335594,26,15.86333129957291,2,1,20,2,1,2.0,0.8081453087645271,1.0,0.0,0.0,2.0,2630.0,5.0,2.0203632719113176,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0,0.0,360,0.2196461256863941,551,0.3361805979255644,1.85,13,5.252944506969426
Praha-Nebušice,2872,3.680762988007202,7.188129937010841,162,56.4066852367688,12,3,141,4,2,5.0,1.3584140071749211,5.0,0.0,0.0,2.0,1088.6,4.0,1.086731205739937,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0,0.0,948,0.33008356545961,823,0.2865598885793872,1.2,14,3.80355922008978
Praha-Nedvězí,381,3.808498372934888,18.485406125764797,13,34.120734908136484,1,1,11,0,0,4.0,1.0502827120594351,2.0,0.0,0.0,4.0,2235.5,2.0,0.5251413560297176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,83,0.2178477690288714,53,0.1391076115485564,2.95,7,1.8379947461040116
Praha-Petrovice,6040,1.7864293006546386,11.587728246785616,218,36.09271523178808,13,14,166,21,4,4.0,2.2391034442472457,3.0,0.0,0.0,1.0,1498.3333333333333,4.0,2.2391034442472457,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0,0.0,882,0.1460264900662251,1321,0.2187086092715232,2.0,28,15.67372410973072
Praha-Přední Kopanina,698,3.2744313491893684,8.970040419874248,92,131.8051575931232,1,0,91,0,0,2.0,0.6107930772453447,1.0,0.0,0.0,1.0,2496.0,3.0,0.916189615868017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0,0.0,161,0.2306590257879656,142,0.2034383954154728,1.77,8,2.443172308981379
Praha-Satalice,2715,3.797950106593072,12.322228986987422,81,29.834254143646408,4,4,66,6,1,3.0,0.7898997922042561,1.0,1.0,0.263299930734752,3.0,3562.6666666666665,6.0,1.5797995844085122,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0,0.0,621,0.2287292817679558,576,0.2121546961325967,2.21,25,6.5824982683688
Praha-Slivenec,3981,7.590731592281526,9.16917047832613,408,102.48681235870384,19,18,362,9,0,3.0,0.3952188222608854,1.0,0.0,0.0,2.0,2645.0,5.0,0.6586980371014757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0,0.0,459,0.1152976639035418,1061,0.2665159507661391,1.89,32,4.2156674374494445
Praha-Suchdol,7058,5.13560193293967,6.327815090203667,244,34.57069991499008,11,28,193,9,3,1.0,0.1947191416036386,1.0,0.0,0.0,1.0,1300.0,20.0,3.894382832072773,0.0,3.0,3.0,0.0,2.0,0.0,0.0,3.0,9.0,18412,2.6086710116180223,1754,0.2485123264380844,2354,0.3335222442618305,1.49,26,5.062697681694606
Praha-Troja,1603,3.37144135370472,3.574085769569535,346,215.84529008109797,8,9,318,10,1,7.0,2.0762633145933345,2.0,1.0,0.2966090449419049,4.0,3414.833333333333,122.0,36.1863034829124,105.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,30732,19.1715533374922,367,0.2289457267623206,548,0.3418590143480973,2.1,36,10.677925617908576
Praha-Velká Chuchle,2867,6.017496795015116,8.634378589667843,1914,667.5967910708057,22,15,1853,23,1,8.0,1.3294564621334215,0.0,0.0,0.0,8.0,2991.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,533,0.1859086152772933,738,0.2574119288454831,1.75,37,6.148736137367076
Praha-Vinoř,4604,5.998221177001347,12.7516221817249,160,34.75238922675934,12,25,110,9,4,4.0,0.6668643722803991,1.0,2.0,0.3334321861401995,2.0,3503.75,11.0,1.8338770237710973,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,0,0.0,656,0.1424847958297133,1098,0.2384882710686359,3.15,21,3.5010379544720958
Praha-Zbraslav,10575,9.85348984063439,12.870626889205385,1816,171.72576832151302,39,45,1655,64,13,8.0,0.8118950878712168,5.0,0.0,0.0,6.0,1425.0,20.0,2.029737719678042,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,13.0,2515,0.2378250591016548,1771,0.1674704491725768,2541,0.2402836879432624,1.63,53,5.378804957146811
Praha-Zličín,8868,7.169365624820148,10.495503059698851,1202,135.54352728912946,44,73,965,106,14,10.0,1.3948235483178977,5.0,1.0,0.1394823548317897,10.0,2704.4,14.0,1.9527529676450568,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,7.0,0,0.0,3012,0.3396481732070365,2691,0.3034506089309878,2.04,87,12.13496487036571
Praha-Újezd,3893,3.7031802659763313,11.536038862859629,558,143.33418957102492,9,7,534,7,1,3.0,0.8101144920119248,0.0,0.0,0.0,3.0,2650.0,4.0,1.0801526560158996,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,801,0.205753917287439,1087,0.2792191112252761,2.2,16,4.320610624063598
Praha-Čakovice,12589,10.183716155105238,11.079899266747184,578,45.91309873699261,30,43,433,65,7,3.0,0.2945879435667557,3.0,0.0,0.0,1.0,1434.6666666666667,10.0,0.9819598118891856,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,5.0,0,0.0,2285,0.181507665422194,2691,0.2137580427357216,2.64,69,6.7755227020353805
Praha-Ďáblice,4270,7.379375495726167,8.23388877668231,342,80.09367681498829,11,23,300,6,2,3.0,0.4065384668035225,3.0,0.0,0.0,2.0,1165.0,6.0,0.813076933607045,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,742,0.1737704918032787,905,0.211943793911007,1.93,29,3.929871845767385
Praha-Řeporyje,6288,9.902539423186456,10.580896766222896,617,98.1234096692112,24,41,530,18,4,1.0,0.1009841978168281,1.0,0.0,0.0,0.0,1700.0,12.0,1.2118103738019377,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,6.0,0,0.0,1837,0.2921437659033079,1764,0.2805343511450381,1.97,36,3.635431121405812
Praha-Šeberov,3322,5.00176852122112,11.206874239061,211,63.51595424443107,7,12,182,9,1,9.0,1.79936355747282,7.0,0.0,0.0,6.0,888.7142857142857,6.0,1.19957570498188,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,643,0.1935580975316074,877,0.2639975918121613,2.02,34,6.797595661563986
Praha-Štěrboholy,2689,2.968908071206948,9.462858983074115,1729,642.9899590925995,17,12,1619,80,1,1.0,0.3368241710473274,0.0,0.0,0.0,1.0,2286.0,2.0,0.6736483420946549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,802,0.2982521383413908,616,0.229081442915582,1.68,42,14.14661518398775
